#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "cli_overrides": ["adapt", "bench", "camera", "extrinsics", "fps", "height", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_paper.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses_world_phone.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": true, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "2", "fps": 30.0, "height": 1080, "width": 1920}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "sha256": "a3583ec3b05ec4397f74222c4802234f7ee960b25f93061cb951120e268bc42f"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC.yaml", "sha256": "7057eea3ee5bf6e7608f69cc3c933361c9e1c639b9e7389f5c54dcff711a59a8"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_paper.yaml", "sha256": "e4048a572421f174e4670fbb51050d61e65957319f0f3d120df78c66f49c0a91"}}, "git_commit": null, "timestamp": 1763240366.558128}
t,fps,n_visible,n_inliers,mean_reproj,ransac_score,weight_min,weight_max,tilt_deg,mean_tag_area_px2,mean_view_cos,mean_reproj_px,ransac_trans_eff,ransac_rot_eff,n_unknown_ids,n_mirror_discards
1763240366.788944,38.659,6,6,37.187,0.00000,0.017,0.811,84.637,1127.6,0.6729,37.187,0.0500,5.000,0,0
1763240366.948096,6.002,6,6,37.250,0.00000,0.016,0.815,81.141,1131.1,0.6736,37.250,0.0500,5.000,0,0
1763240367.098494,7.584,6,6,37.301,0.00000,0.016,0.819,78.530,1133.9,0.6733,37.301,0.0500,5.000,0,0
1763240367.591000,7.505,6,6,37.312,0.00000,0.017,0.817,76.723,1134.1,0.6735,37.312,0.0500,5.000,0,0
1763240367.766703,1.997,6,6,37.289,0.00000,0.017,0.814,75.523,1132.2,0.6727,37.289,0.0500,5.000,0,0
1763240367.962496,5.966,6,6,37.283,0.00000,0.017,0.814,74.692,1132.7,0.6728,37.283,0.0500,5.000,0,0
1763240368.111161,4.998,6,6,37.301,0.00000,0.017,0.816,73.999,1134.1,0.6736,37.301,0.0500,5.000,0,0
1763240368.275098,7.549,6,6,37.288,0.00000,0.017,0.813,73.605,1133.6,0.6737,37.288,0.0500,5.000,0,0
1763240368.505772,5.434,6,6,37.277,0.00000,0.017,0.814,73.320,1132.9,0.6736,37.277,0.0500,5.000,0,0
1763240368.631400,4.998,6,6,37.288,0.00000,0.017,0.814,73.112,1132.7,0.6732,37.288,0.0500,5.000,0,0
1763240368.750361,7.552,6,6,37.301,0.00000,0.017,0.813,72.987,1132.3,0.6728,37.301,0.0500,5.000,0,0
1763240368.894439,7.512,6,6,37.288,0.00000,0.017,0.814,72.862,1132.5,0.6734,37.288,0.0500,5.000,0,0
1763240369.018060,8.514,6,6,37.267,0.00000,0.017,0.813,72.820,1131.4,0.6734,37.267,0.0500,5.000,0,0
1763240369.158966,7.468,6,6,37.290,0.00000,0.016,0.816,72.712,1132.4,0.6733,37.290,0.0500,5.000,0,0
1763240369.342474,5.154,6,6,37.284,0.00000,0.016,0.814,72.696,1132.7,0.6734,37.284,0.0500,5.000,0,0
1763240369.483848,7.321,6,6,37.283,0.00000,0.017,0.814,72.662,1132.5,0.6734,37.283,0.0500,5.000,0,0
1763240369.795250,7.218,6,6,37.275,0.00000,0.017,0.813,72.669,1132.3,0.6734,37.275,0.0500,5.000,0,0
1763240369.982245,3.020,6,6,37.277,0.00000,0.016,0.815,72.635,1133.0,0.6736,37.277,0.0500,5.000,0,0
1763240370.137553,5.973,6,6,37.292,0.00000,0.016,0.816,72.587,1132.5,0.6733,37.292,0.0500,5.000,0,0
1763240370.274591,5.938,6,6,37.279,0.00000,0.016,0.816,72.559,1132.1,0.6727,37.279,0.0500,5.000,0,0
